,Age,Job,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Sex_male,Housing_own,Housing_rent,Savings_moderate,Savings_no_inf,Savings_quite rich,Savings_rich,Check_moderate,Check_no_inf,Check_rich,Age_cat_Young,Age_cat_Adult,Age_cat_Senior
136,27,2,8613,27,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
76,34,2,3965,42,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
280,23,2,3368,15,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
319,27,1,3643,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
174,26,2,3414,21,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
371,33,2,6070,18,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
210,33,2,3074,9,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
235,30,3,1823,24,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
101,24,2,2323,36,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
346,23,2,882,13,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
139,44,1,1881,12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
370,36,2,3079,36,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
198,36,2,2760,24,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
59,23,1,6229,36,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
328,31,2,4473,36,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
96,61,2,2012,12,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
312,26,2,3749,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
299,32,2,2745,21,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
277,49,1,1262,12,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
261,55,2,1603,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
23,44,2,1804,12,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
30,36,2,1913,18,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
10,25,2,1295,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
221,23,2,1200,12,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
296,20,2,4675,12,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
54,57,2,2225,36,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
209,55,2,1413,12,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0
70,30,2,8133,36,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
107,32,2,6078,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
292,44,3,6419,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
289,48,2,1024,24,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
39,24,2,458,9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
307,33,1,727,12,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
66,29,2,2171,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
275,32,2,2697,9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
67,22,2,1007,12,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
318,32,2,701,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
327,34,2,1525,24,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
382,25,2,1283,22,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
218,24,1,3021,24,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
88,30,3,2249,18,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
63,25,2,14421,48,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
351,29,2,959,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
256,35,1,2684,24,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
168,25,2,3972,24,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
86,27,2,1295,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
184,36,2,884,18,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
294,46,3,7629,48,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
260,27,2,1657,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
237,61,1,2767,21,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
265,37,2,802,15,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
55,26,1,783,6,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
120,25,2,1835,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
215,39,1,932,6,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
25,36,1,1374,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
72,51,3,1164,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
44,58,1,6143,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
247,35,2,1204,6,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0
281,50,2,1574,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
244,35,1,3447,12,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
321,32,2,1938,24,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
158,38,2,3512,24,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
309,22,1,276,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
60,27,2,1391,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
298,43,2,2515,18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
314,29,1,1494,4,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
310,40,0,5381,48,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
361,37,3,3399,12,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
110,31,2,1449,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
363,21,2,1766,6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
254,24,2,2030,9,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
259,57,1,1154,11,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
377,36,2,846,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
137,66,1,766,12,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
355,23,1,1246,24,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
365,36,2,1542,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
199,40,3,4297,18,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
213,66,3,1908,30,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
332,24,3,7408,60,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
208,21,1,6568,24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
78,39,1,9436,54,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
29,63,2,6836,60,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
165,32,2,2978,6,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
65,48,2,5190,27,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0
141,30,3,4795,36,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
331,30,2,1864,18,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
249,22,2,433,18,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
305,33,2,1543,6,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0
49,28,2,2073,12,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
2,49,1,2096,12,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
350,23,2,1236,9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
344,37,1,3949,10,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
33,57,1,1264,12,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
31,27,2,4020,24,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
231,51,1,2507,9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
192,36,2,3915,27,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
333,24,1,11590,48,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
3,45,2,7882,42,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
204,38,1,1495,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
306,24,1,4811,30,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
109,35,2,1410,14,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
77,51,2,4771,11,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
84,52,1,2315,10,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
286,26,2,4788,48,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
82,24,1,1568,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
398,46,2,1223,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
323,28,2,2659,18,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
5,35,1,9055,36,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
97,34,2,2622,18,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
266,36,2,6304,36,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
357,26,3,4463,36,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
380,39,2,2212,20,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
381,38,3,12976,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
118,23,2,4281,33,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
250,39,1,666,6,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
9,28,3,5234,30,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
196,28,2,1382,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
81,47,2,1213,15,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
239,39,2,2522,30,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
290,26,2,1076,12,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
211,45,1,3835,36,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
359,23,2,2406,30,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
227,53,3,7865,12,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
362,36,2,2247,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
7,35,3,6948,36,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
155,20,2,1282,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
334,23,2,4110,24,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
228,22,2,1478,9,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
352,38,3,3229,18,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0
212,50,2,5293,27,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
79,22,2,3832,30,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
148,28,2,5371,36,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
302,37,1,1344,24,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0
342,25,2,3213,18,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
133,47,2,1984,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
311,25,2,5511,24,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
0,67,2,1169,6,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
316,38,1,708,12,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
172,34,3,2064,24,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
125,30,2,2121,12,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
394,31,3,2406,9,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
90,56,2,618,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
181,30,3,4455,36,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
274,34,1,11998,30,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
69,25,2,2394,36,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
291,28,3,9398,36,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
131,29,2,6887,36,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
300,54,0,672,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
326,49,2,5801,12,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
144,23,2,2288,21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
135,38,2,1240,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
164,36,2,909,36,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
28,34,2,2415,7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
193,29,2,2108,6,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
388,27,2,2326,15,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
169,31,2,1935,24,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
140,27,0,709,6,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0
173,33,2,1414,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
6,53,2,2835,24,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
73,41,1,5954,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
238,35,2,1291,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
145,30,2,3566,48,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
234,42,1,1544,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
220,26,1,625,12,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0
132,27,1,2708,15,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
185,31,2,1360,15,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
41,26,2,1158,12,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0
108,30,2,7721,24,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
56,52,3,6468,12,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
